EventTitle,URL
Holm vs Silva,https://www.ufc.com/event/ufc-fight-night-july-15-2023
Aspinall vs Tybura,https://www.ufc.com/event/ufc-fight-night-july-22-2023
Poirier vs Gaethje,https://www.ufc.com/event/ufc-291
Sandhagen vs Nurmagomedov,https://www.ufc.com/event/ufc-fight-night-august-05-2023
Luque vs Dos Anjos,https://www.ufc.com/event/ufc-fight-night-august-12-2023
Sterling vs O'Malley,https://www.ufc.com/event/ufc-292
Holloway vs Jung,https://www.ufc.com/event/ufc-fight-night-august-26-2023
Gane vs Spivac,https://www.ufc.com/event/ufc-fight-night-september-02-2023
TBD vs TBD,https://www.ufc.com/event/ufc-293
Grasso vs Shevchenko 2,https://www.ufc.com/event/ufc-fight-night-september-16-2023
TBD vs TBD,https://www.ufc.com/event/ufc-294
Jones vs Miocic,https://www.ufc.com/event/ufc-295
Volkanovski vs Rodriguez,https://www.ufc.com/event/ufc-290
Strickland vs Magomedov,https://www.ufc.com/event/ufc-fight-night-july-01-2023
Emmett vs Topuria,https://www.ufc.com/event/ufc-fight-night-june-24-2023
Vettori vs Cannonier,https://www.ufc.com/event/ufc-fight-night-june-17-2023
Nunes vs Aldana,https://www.ufc.com/event/ufc-289
France vs Albazi,https://www.ufc.com/event/ufc-fight-night-june-03-2023
Dern vs Hill,https://www.ufc.com/event/ufc-fight-night-may-20-2023
Rozenstruik vs Almeida,https://www.ufc.com/event/ufc-fight-night-may-13-2023
Sterling vs Cejudo,https://www.ufc.com/event/ufc-288
Song vs Simon,https://www.ufc.com/event/ufc-fight-night-april-29-2023
Pavlovich vs Blaydes,https://www.ufc.com/event/ufc-fight-night-april-22-2023
Holloway vs Allen,https://www.ufc.com/event/ufc-fight-night-april-15-2023
Pereira vs Adesanya 2,https://www.ufc.com/event/ufc-287
Vera vs Sandhagen,https://www.ufc.com/event/ufc-fight-night-march-25-2023
Edwards vs Usman 3,https://www.ufc.com/event/ufc-286
Yan vs Dvalishvili,https://www.ufc.com/event/ufc-fight-night-march-11-2023
Jones vs Gane,https://www.ufc.com/event/ufc-285
Muniz vs Allen,https://www.ufc.com/event/ufc-fight-night-february-25-2023
Andrade vs Blanchfield,https://www.ufc.com/event/ufc-fight-night-february-18-2023
Makhachev vs Volkanovski,https://www.ufc.com/event/ufc-284
Lewis vs Spivac,https://www.ufc.com/event/ufc-fight-night-february-04-2023
Teixeira vs Hill,https://www.ufc.com/event/ufc-283
Strickland vs Imavov,https://www.ufc.com/event/ufc-fight-night-january-14-2023
Cannonier vs Strickland,https://www.ufc.com/event/ufc-fight-night-december-17-2022
Blachowicz vs Ankalaev,https://www.ufc.com/event/ufc-282
Thompson vs Holland,https://www.ufc.com/event/ufc-fight-night-december-03-2022
Nzechukwu vs Cutelaba,https://www.ufc.com/event/ufc-fight-night-november-19-2022
Adesanya vs Pereira,https://www.ufc.com/event/ufc-281
Rodriguez vs Lemos,https://www.ufc.com/event/ufc-fight-night-november-05-2022
Kattar vs Allen,https://www.ufc.com/event/ufc-fight-night-october-29-2022
Oliveira vs Makhachev,https://www.ufc.com/event/ufc-280
Grasso vs Araujo,https://www.ufc.com/event/ufc-fight-night-october-15-2022
Dern vs Yan,https://www.ufc.com/event/ufc-fight-night-october-01-2022
Sandhagen vs Song,https://www.ufc.com/event/ufc-fight-night-september-17-2022
Diaz vs Ferguson,https://www.ufc.com/event/ufc-279
Gane vs Tuivasa,https://www.ufc.com/event/ufc-fight-night-september-03-2022
