EventTitle,DateTime,WeightClass,RedCorner,BlueCorner,RedCornerNation,BlueCornerNation
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Women's Bantamweight Bout,Ashlee Evans-Smith,Ailin Perez,Brazil,United States
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Lightweight Bout,Alexander Munoz,Carl Deaton,United States,Australia
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Flyweight Bout,Tyson Nam,Azat Maksum,Argentina,Morocco
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Lightweight Bout,Evan Elder,Genaro Valdez,South Korea,Russia
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Featherweight Bout,Austin Lingo,Melquizael Costa,United States,Brazil
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Women's Strawweight Bout,Viktoriia Dudakova,Istela Nunes,United States,Azerbaijan
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Featherweight Bout,Tucker Lutz,Melsik Baghdasaryan,Armenia,United States
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Lightweight Bout,Nazim Sadykhov,Terrance McKinney,Brazil,Russia
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Women's Featherweight Bout,Norma Dumont,Chelsea Chandler,Brazil,United States
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Middleweight Bout,Albert Duraev,Junyong Park,Mexico,United States
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Lightweight Bout,Ottman Azaitar,Francisco Prado,Kazakhstan,United States
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Welterweight Bout,Jack Della Maddalena,Bassil Hafez,United States,United States
Holm vs Silva,"
Sat, Jul 15 / 10:00 PM EDT / Main Card
",Women's Bantamweight Bout,Holly Holm,Mayra Bueno Silva,Argentina,United States
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Flyweight Bout,Jafel Filho,Daniel Barez,Poland,England
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Women's Strawweight Bout,Shauna Bannon,Bruna Brasil,Lithuania,England
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Lightweight Bout,Chris Duncan,Yanal Ashmouz,United States,England
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Women's Bantamweight Bout,Ketlen Vieira,Pannie Kianzad,Brazil,Scotland
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Middleweight Bout,Makhmud Muradov,Bryan Barberena,France,England
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Heavyweight Bout,Mick Parkin,Jamal Pogues,Australia,England
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Lightweight Bout,Marc Diakiese,Joel Álvarez,Peru,England
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Welterweight Bout,Danny Roberts,Jonny Parsons,United States,England
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Bantamweight Bout,Davey Grant,Daniel Marcos,Spain,England
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Featherweight Bout,Lerone Murphy,Josh Culibao,United States,England
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Lightweight Bout,Jai Herbert,Farès Ziam,United States,Uzbekistan
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Middleweight Bout,Paul Craig,Andre Muniz,Sweden,Brazil
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Featherweight Bout,Nathaniel Wood,Andre Fili,Israel,Scotland
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Women's Flyweight Bout,Molly McCann,Julija Stoliarenko,Brazil,Ireland
Aspinall vs Tybura,"
Sat, Jul 22 / 3:00 PM EDT / Main Card
",Heavyweight Bout,Tom Aspinall,Marcin Tybura,Spain,Brazil
Grasso vs Shevchenko 2,"
Sat, Sep 16 / 10:00 PM EDT / Main Card
",Welterweight Bout,Kelvin Gastelum,Shavkat Rakhmonov,Kyrgyzstan,Mexico
Grasso vs Shevchenko 2,"
Sat, Sep 16 / 10:00 PM EDT / Main Card
",Women's Flyweight Title Bout,Alexa Grasso,Valentina Shevchenko,Kazakhstan,United States
Jones vs Miocic,"
Sat, Nov 11 / 10:00 PM EST / Main Card
",Heavyweight Title Bout,Jon Jones,Stipe Miocic,United States,United States
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Lightweight Bout,Kamuela Kirk,Esteban Ribovics,Mexico,Australia
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Flyweight Bout,Shannon Ross,Jesus Aguilar,Brazil,Mexico
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Bantamweight Bout,Cameron Saaiman,Terrence Mitchell,South Africa,Australia
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Light Heavyweight Bout,Vitor Petrino,Marcin Prachnio,New Zealand,United States
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Light Heavyweight Bout,Jimmy Crute,Alonzo Menifield,Jamaica,United States
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Women's Strawweight Bout,Yazmin Jauregui,Denise Gomes,United States,United States
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Catchweight Bout,Tatsuro Taira,Edgar Chairez,Mexico,Japan
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Welterweight Bout,Robbie Lawler,Niko Price,Brazil,Mexico
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Middleweight Bout,Bo Nickal,Val Woodburn,United States,Australia
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Lightweight Bout,Jalin Turner,Dan Hooker,Poland,Brazil
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Middleweight Bout,Robert Whittaker,Dricus Du Plessis,United States,South Africa
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Flyweight Title Bout,Brandon Moreno,Alexandre Pantoja,Mexico,Australia
Volkanovski vs Rodriguez,"
Sat, Jul 8 / 10:00 PM EDT / Main Card
",Featherweight Title Bout,Alexander Volkanovski,Yair Rodriguez,Argentina,United States
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Heavyweight Bout,Alexandr Romanov,Blagoy Ivanov,Germany,United States
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Women's Flyweight Bout,Ivana Petrovic,Luana Carolina,United States,Kazakhstan
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Lightweight Bout,Guram Kutateladze,Elves Brener,Ecuador,United States
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Women's Featherweight Bout,Yana Santos,Karol Rosa,Brazil,Brazil
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Featherweight Bout,Joanderson Brito,Westin Wilson,France,Brazil
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Welterweight Bout,Kevin Lee,Rinat Fakhretdinov,Uzbekistan,Brazil
Strickland vs Magomedov,"
Sat, Jul 1 / 7:00 PM EDT / Main Card
",Middleweight Bout,Brunno Ferreira,Nursulton Ruziboev,Russia,United States
